N;K;count_it;start;end;result
256;10;0;300092483;300103685;11202
256;10;1;300115062;300126221;11159
256;10;2;300129152;300139819;10667
256;10;3;300142415;300153073;10658
256;10;4;300155711;300166754;11043
256;10;5;300169301;300179985;10684
256;10;6;300182537;300193621;11084
256;10;7;300196173;300206865;10692
256;10;8;300209412;300220477;11065
256;10;9;300223037;300233704;10667
256;10;10;300236242;300247282;11040
256;10;11;300249923;300260588;10665
256;10;12;300263215;300274273;11058
256;10;13;300276875;300287569;10694
256;10;14;300290161;300301246;11085
256;10;15;300303822;300314514;10692
256;10;16;300317086;300328148;11062
256;10;17;300330706;300341365;10659
256;10;18;300343937;300354984;11047
256;10;19;300357543;300368219;10676
256;10;20;300370793;300381876;11083
256;10;21;300384455;300395152;10697
256;10;22;300397721;300408794;11073
256;10;23;300411337;300422013;10676
256;10;24;300424482;300435532;11050
256;10;25;300438047;300448703;10656
256;10;26;300451232;300462286;11054
256;10;27;300464812;300475497;10685
256;10;28;300478017;300489101;11084
256;10;29;300491629;300502325;10696
256;10;30;300504870;300515931;11061
256;10;31;300518476;300529140;10664
256;10;32;300531691;300542729;11038
256;10;33;300545277;300555945;10668
256;10;34;300558498;300569573;11075
256;10;35;300572116;300582810;10694
256;10;36;300585376;300596457;11081
256;10;37;300599029;300609706;10677
256;10;38;300612272;300623329;11057
256;10;39;300625862;300636519;10657
256;10;40;300639765;300650812;11047
256;10;41;300654078;300688242;34164
256;10;42;300691893;300702581;10688
256;10;43;300705104;300715768;10664
256;10;44;300718263;300728924;10661
256;10;45;300731433;300742085;10652
256;10;46;300744583;300755257;10674
256;10;47;300757782;300768474;10692
256;10;48;300771014;300781712;10698
256;10;49;300784259;300794953;10694
256;10;50;300797489;300808164;10675
256;10;51;300810698;300821361;10663
256;10;52;300823842;300834504;10662
256;10;53;300837017;300847690;10673
256;10;54;300850165;300860851;10686
256;10;55;300863344;300874044;10700
256;10;56;300876557;300887247;10690
256;10;57;300889770;300900452;10682
256;10;58;300902995;300913665;10670
256;10;59;300916133;300926795;10662
256;10;60;300929298;300939964;10666
256;10;61;300942440;300953120;10680
256;10;62;300955591;300966289;10698
256;10;63;300968773;300979481;10708
256;10;64;300981966;300992652;10686
256;10;65;300995141;301005819;10678
256;10;66;301009026;301019692;10666
256;10;67;301022173;301032838;10665
256;10;68;301035337;301046013;10676
256;10;69;301049279;301059969;10690
256;10;70;301062448;301073150;10702
256;10;71;301076345;301087037;10692
256;10;72;301089518;301100194;10676
256;10;73;301102682;301113352;10670
256;10;74;301115817;301126470;10653
256;10;75;301128949;301139620;10671
256;10;76;301142097;301152785;10688
256;10;77;301155310;301166010;10700
256;10;78;301168499;301179195;10696
256;10;79;301181668;301192349;10681
256;10;80;301194818;301205484;10666
256;10;81;301207999;301218662;10663
256;10;82;301221125;301231794;10669
256;10;83;301234287;301244965;10678
256;10;84;301247468;301258158;10690
256;10;85;301260639;301271337;10698
256;10;86;301274536;301285224;10688
256;10;87;301287717;301298391;10674
256;10;88;301300863;301311523;10660
256;10;89;301313983;301324647;10664
256;10;90;301327834;301338508;10674
256;10;91;301341025;301351711;10686
256;10;92;301354939;301365639;10700
256;10;93;301368152;301378842;10690
256;10;94;301381327;301392002;10675
256;10;95;301394473;301405138;10665
256;10;96;301407627;301418285;10658
256;10;97;301420751;301431421;10670
256;10;98;301433914;301444596;10682
256;10;99;301447076;301457774;10698
256;10;0;301460555;301471253;10698
256;10;1;301473800;301484480;10680
256;10;2;301486973;301497638;10665
256;10;3;301500105;301510765;10660
256;10;4;301513267;301523935;10668
256;10;5;301526398;301541676;15278
256;10;6;301544493;301555185;10692
256;10;7;301557572;301568270;10698
256;10;8;301570814;301581500;10686
256;10;9;301583916;301594982;11066
256;10;10;301597554;301608205;10651
256;10;11;301610577;301621242;10665
256;10;12;301623626;301634300;10674
256;10;13;301636786;301647476;10690
256;10;14;301753955;301765171;11216
256;10;15;301768104;301778777;10673
256;10;16;301781442;301792108;10666
256;10;17;301794655;301805309;10654
256;10;18;301807887;301818558;10671
256;10;19;301821468;301832148;10680
256;10;20;301834706;301845398;10692
256;10;21;301848332;301859030;10698
256;10;22;301861594;301872276;10682
256;10;23;301875556;301886230;10674
256;10;24;301888779;301899433;10654
256;10;25;301902351;301913017;10666
256;10;26;301916273;301926955;10682
256;10;27;301929518;301940212;10694
256;10;28;301943481;301954187;10706
256;10;29;301956726;301967408;10682
256;10;30;301970322;301980992;10670
256;10;31;301984189;301994843;10654
